date	close	average	avup	avdo
5/22/12	14.51	14.66	15.22	14.11
5/21/12	14.56	14.66	15.22	14.11
5/18/12	14.48	14.66	15.22	14.11
5/17/12	14.68	14.66	15.22	14.11
5/16/12	14.9	14.66	15.22	14.11
5/15/12	14.94	14.66	15.22	14.11
5/14/12	15	14.66	15.22	14.11
5/11/12	15.11	14.66	15.22	14.11
5/10/12	15.1	14.66	15.22	14.11
5/9/12	14.98	14.66	15.22	14.11
5/8/12	15.05	14.66	15.22	14.11
5/7/12	15.07	14.66	15.22	14.11
5/4/12	15.02	14.66	15.22	14.11
5/3/12	15.1	14.66	15.22	14.11
5/2/12	15.05	14.66	15.22	14.11
5/1/12	15.01	14.66	15.22	14.11
4/30/12	14.9	14.66	15.22	14.11
4/27/12	14.95	14.66	15.22	14.11
4/26/12	14.78	14.66	15.22	14.11
4/25/12	14.64	14.66	15.22	14.11
4/24/12	14.49	14.66	15.22	14.11
4/23/12	14.41	14.66	15.22	14.11
4/20/12	14.49	14.66	15.22	14.11
4/19/12	14.44	14.66	15.22	14.11
4/18/12	14.5	14.66	15.22	14.11
4/17/12	14.46	14.66	15.22	14.11
4/16/12	14.18	14.66	15.22	14.11
4/13/12	14.09	14.66	15.22	14.11
4/12/12	14.14	14.66	15.22	14.11
4/11/12	14.12	14.66	15.22	14.11
4/10/12	14.11	14.66	15.22	14.11
4/9/12	14.26	14.66	15.22	14.11
4/5/12	14.37	14.66	15.22	14.11
4/4/12	14.37	14.66	15.22	14.11
4/3/12	14.43	14.66	15.22	14.11
4/2/12	14.5	14.66	15.22	14.11
3/30/12	14.47	14.66	15.22	14.11
3/29/12	14.44	14.66	15.22	14.11
3/28/12	14.22	14.66	15.22	14.11
3/27/12	14.08	14.66	15.22	14.11
3/26/12	14.08	14.66	15.22	14.11
3/23/12	14.01	14.66	15.22	14.11
3/22/12	14	14.66	15.22	14.11
3/21/12	13.94	14.66	15.22	14.11
3/20/12	13.84	14.66	15.22	14.11
3/19/12	13.81	14.66	15.22	14.11
3/16/12	13.76	14.66	15.22	14.11
3/15/12	13.8	14.66	15.22	14.11
3/14/12	13.78	14.66	15.22	14.11
3/13/12	13.78	14.66	15.22	14.11
3/12/12	13.76	14.66	15.22	14.11
3/9/12	13.65	14.66	15.22	14.11
3/8/12	13.6	14.66	15.22	14.11
3/7/12	13.51	14.66	15.22	14.11
3/6/12	13.51	14.66	15.22	14.11
3/5/12	13.59	14.66	15.22	14.11
3/2/12	13.58	14.66	15.22	14.11
3/1/12	13.66	14.66	15.22	14.11
